gameId,player,positionGroupType,shirtNumber,team
27812,"{'id': '13015', 'nickname': 'Vinicius Souza'}",AM,21,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '15619', 'nickname': 'Louie Marsh'}",CF,34,"{'id': '15', 'name': 'Sheffield United'}"
27813,"{'id': '7015', 'nickname': 'Ethan Horvath'}",GK,1,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '532', 'nickname': 'Callum Robinson'}",CF,47,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '9288', 'nickname': 'Anthony Patterson'}",GK,1,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '9774', 'nickname': 'Eliezer Mayenda'}",CF,12,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '6924', 'nickname': 'Chris Willock'}",LW,16,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '7344', 'nickname': 'Andy Rinomhota'}",CM,35,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '87', 'nickname': 'Jack Clarke'}",LW,20,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '9497', 'nickname': 'Abdoullah Ba'}",RM,17,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '7426', 'nickname': 'Joe Ralls'}",CM,8,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '7431', 'nickname': 'Joel Bagan'}",LB,23,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '9294', 'nickname': 'Dan Neil'}",CM,4,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '13883', 'nickname': 'Zak Johnson'}",RB,41,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '12011', 'nickname': 'Manolis Siopis'}",CM,3,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '9231', 'nickname': 'Jak Alnwick'}",GK,21,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '7312', 'nickname': 'Alan Browne'}",CM,8,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '20914', 'nickname': 'Nectarios Triantis'}",RCB,25,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '12378', 'nickname': 'Dimitrios Goutas'}",LCB,4,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '7955', 'nickname': 'Rubin Colwill'}",AM,27,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '6836', 'nickname': 'Aji Alese'}",LCB,42,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '18170', 'nickname': 'Romaine Mundle'}",RW,14,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '155', 'nickname': 'Calum Chambers'}",RCB,12,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '8408', 'nickname': 'Wilfried Kanga'}",CF,15,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '9292', 'nickname': ""Luke O'Nien""}",RCB,13,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '14101', 'nickname': 'Chris Rigg'}",CM,11,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '7193', 'nickname': ""Callum O'Dowda""}",LB,11,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '20707', 'nickname': 'David Turnbull'}",CM,14,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '602', 'nickname': 'Dennis Cirkin'}",LB,3,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '511', 'nickname': 'Simon Moore'}",GK,21,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '9235', 'nickname': 'Ollie Tanner'}",RW,32,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '33118', 'nickname': 'Malachi Fagan-Walcott'}",RCB,31,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '29', 'nickname': 'Patrick Roberts'}",RW,10,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '7231', 'nickname': 'Pierre Ekwah'}",DM,39,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '7425', 'nickname': 'Perry Ng'}",RB,38,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '7686', 'nickname': 'Yakou Meite'}",LW,19,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '9291', 'nickname': 'Trai Hume'}",RB,32,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '23998', 'nickname': 'Nazariy Rusyn'}",CF,15,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '8062', 'nickname': 'Aaron Ramsey'}",AM,10,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '18894', 'nickname': 'Alex Robertson'}",CM,18,"{'id': '213', 'name': 'Cardiff City'}"
27813,"{'id': '7306', 'nickname': 'Jobe Bellingham'}",AM,7,"{'id': '335', 'name': 'Sunderland AFC'}"
27813,"{'id': '4099', 'nickname': 'Adil Aouchiche'}",AM,22,"{'id': '335', 'name': 'Sunderland AFC'}"
27814,"{'id': '11261', 'nickname': 'Ivor Pandur'}",GK,1,"{'id': '217', 'name': 'Hull City'}"
